file_path,error_type,message
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\target\classes\archetype-resources\src\main\java\flux\modules\actions\user\FluxUserAction.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\test\java\services\security\AbstractFulcrumTorqueModelManagerTest.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\test\java\services\security\FulcrumTorqueDefaultModelManagerTest.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\test\java\services\security\TurbineSecurityServiceTest.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\main\java\om\TurbinePermissionPeer.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\main\java\om\TurbinePermissionPeerImpl.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\main\java\om\TurbineRolePeer.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\main\java\om\TurbineRolePeerImpl.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\main\java\om\TurbineRolePermission.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\main\java\om\TurbineUser.java,JavaSyntaxError,
C:\Users\nlaxm\TurbineProjectWorkspace\turbine-archetypes\src\main\resources\archetype-resources\src\main\java\om\TurbineUserGroupRole.java,JavaSyntaxError,
